"Calendar Year","Quarter","Excise Tax","Cultivation Tax","Sales Tax","Total Tax","Year-Quarter","Excise Tax Paid to Distributors","Vendor Compensation","Cannabis Sales","Taxable Sales"
"2023","Q1","104277620","","111892563","216170183","2023Q1","24917764","","858715250","1249584223"
"2022","Q4","128425656","","120074448","248500104","2022Q4","","","","1343064338"
"2022","Q3","135524413","","116200688","251725101","2022Q3","","","","1297789490"
"2022","Q2","147865454","27727101","126042518","301635073","2022Q2","","","","1412650213"
"2022","Q1","155124161","37654430","118826505","311605096","2022Q1","","","","1328165141"
"2021","Q4","160983530","40090205","129491191","330564926","2021Q4","","","","1445801056"
"2021","Q3","177453322","43418896","127989885","348862103","2021Q3","","","","1429639352"
"2021","Q2","180434103","42521801","138944559","361900463","2021Q2","","","","1565577030"
"2021","Q1","162185994","40367175","118289958","320843127","2021Q1","","","","1340919763"
"2020","Q4","154482053","42694071","118065537","315241661","2020Q4","","","","1332162720"
"2020","Q3","169391645","43394834","119313966","332100445","2020Q3","","","","1343466891"
"2020","Q2","137591607","30874243","101978470","270444320","2020Q2","","","","1153285028"
"2020","Q1","112754119","27654908","77778305","218187332","2020Q1","","","","877037901"
"2019","Q4","86765478","24666163","70930768","182362409","2019Q4","","","","799246267"
"2019","Q3","84887286","22809108","65839929","173536323","2019Q3","","","","742703422"
"2019","Q2","75731295","23037243","60373132","159141670","2019Q2","","","","682027411"
"2019","Q1","63702235","17277125","50698481","131677841","2019Q1","","","","579063823"
"2018","Q4","57134451","17305538","49220226","123660215","2018Q4","","","","563932953"
"2018","Q3","55452365","12965879","42661438","111079682","2018Q3","","","","487906977"
"2018","Q2","43202987","4963720","45453449","93620156","2018Q2","","","","520051356"
"2018","Q1","35867466","1849146","35511626","73228238","2018Q1","","","","408509470"
