Month_year,Total_wet_weight_lb
JUNE 2016,165.300000
JULY 2016,"3,036.915574"
AUGUST 2016,"9,488.143787"
SEPTEMBER 2016,"71,586.136898"
OCTOBER 2016,"1,030,632.957624"
NOVEMBER 2016,"343,476.351258"
DECEMBER 2016,"19,648.959546"
JANUARY 2017,"22,709.398446"
FEBRUARY 2017,"31,096.689064"
MARCH 2017,"44,791.352209"
APRIL 2017,"49,399.998604"
MAY 2017,"100,305.505811"
JUNE 2017,"107,168.981481"
JULY 2017,"161,367.815622"
AUGUST 2017,"243,090.803337"
SEPTEMBER 2017,"469,771.308086"
OCTOBER 2017,"2,477,691.579581"
NOVEMBER 2017,"809,213.484101"
DECEMBER 2017,"126,419.172571"
JANUARY 2018,"117,380.413723"
FEBRUARY 2018,"85,478.682005"
MARCH 2018,"115,220.295208"
APRIL 2018,"104,631.384105"
MAY 2018,"134,978.996436"
JUNE 2018,"129,244.023731"
JULY 2018,"244,292.561916"
AUGUST 2018,"279,814.088644"
SEPTEMBER 2018,"315,801.547687"
OCTOBER 2018,"2,541,613.512261"
NOVEMBER 2018,"833,207.035055"
DECEMBER 2018,"138,592.914200"
JANUARY 2019,"137,476.057561"
FEBRUARY 2019,"115,414.349720"
MARCH 2019,"130,066.203615"
APRIL 2019,"178,893.411744"
MAY 2019,"158,378.251817"
JUNE 2019,"154,491.927224"
JULY 2019,"323,927.785419"
AUGUST 2019,"390,589.230791"
SEPTEMBER 2019,"713,252.793332"
OCTOBER 2019,"2,946,775.615128"
NOVEMBER 2019,"474,831.825245"
DECEMBER 2019,"183,349.395192"
JANUARY 2020,"179,421.125009"
FEBRUARY 2020,"165,060.691843"
MARCH 2020,"189,669.140579"
APRIL 2020,"186,721.588528"
MAY 2020,"218,844.823514"
JUNE 2020,"306,388.691327"
JULY 2020,"452,538.985141"
AUGUST 2020,"649,539.698968"
SEPTEMBER 2020,"714,787.817365"
OCTOBER 2020,"3,999,775.895631"
NOVEMBER 2020,"752,608.689131"
DECEMBER 2020,"269,920.364310"
JANUARY 2021,"240,613.083007"
FEBRUARY 2021,"232,971.534743"
MARCH 2021,"255,514.876866"
APRIL 2021,"264,063.491570"
MAY 2021,"325,410.308594"
JUNE 2021,"459,172.239706"
JULY 2021,"616,771.134817"
AUGUST 2021,"914,144.785914"
SEPTEMBER 2021,"1,183,645.645693"
OCTOBER 2021,"5,538,076.751151"
NOVEMBER 2021,"829,224.425116"
DECEMBER 2021,"280,107.500517"
JANUARY 2022,"252,703.616639"
FEBRUARY 2022,"235,539.507174"
MARCH 2022,"282,154.110946"
APRIL 2022,"259,262.387765"
MAY 2022,"288,055.037822"
JUNE 2022,"328,560.154354"
JULY 2022,"492,632.979230"
AUGUST 2022,"1,148,924.081766"
SEPTEMBER 2022,"884,286.572022"
OCTOBER 2022,"4,175,004.429918"
NOVEMBER 2022,"1,057,107.085686"
DECEMBER 2022,"247,259.223205"
JANUARY 2023,"254,508.715438"
FEBRUARY 2023,"218,982.213577"
MARCH 2023,"254,912.625295"
APRIL 2023,"212,363.416948"
