Reporting_date,Extract_concentrate_total _dollars_per_lb,Usable_MJ_total_dollars_per_lb
2016-10-01,"1,784.319029",NULL
2016-11-01,NULL,"1,790.501390"
2016-12-01,"9,071.850626","1,600.000000"
2017-01-01,"12,700.590660","1,598.564489"
2017-02-01,"11,339.813090","1,698.474770"
2017-03-01,"11,339.829160","1,798.385050"
2017-04-01,"11,793.405610","1,814.370787"
2017-05-01,"12,700.644670","1,800.000000"
2017-06-01,"11,430.531600","1,814.372422"
2017-07-01,"11,339.861310","1,814.374381"
2017-08-01,"11,339.861310","1,777.449175"
2017-09-01,"11,339.829160","1,798.385050"
2017-10-01,"11,339.861310","1,748.429910"
2017-11-01,"10,795.507160","1,587.575183"
2017-12-01,"9,071.863333","1,459.256456"
2018-01-01,"9,071.863333","1,298.836243"
2018-02-01,"9,071.848330","1,091.798410"
2018-03-01,"9,071.847901",998.105821
2018-04-01,"8,164.663498",907.185819
2018-05-01,"8,164.663498",907.194049
2018-06-01,"7,937.869165",907.185819
2018-07-01,"6,803.897499",899.192525
2018-08-01,"6,803.885926",799.282245
2018-09-01,"6,350.293531",799.283842
2018-10-01,"5,669.906546",845.513704
2018-11-01,"5,443.110283",799.282245
2018-12-01,"4,535.931666",771.109345
2019-01-01,"4,535.931666",799.282245
2019-02-01,"4,535.944525",788.858167
2019-03-01,"5,443.108741",754.100777
2019-04-01,"5,443.108741",649.416824
2019-05-01,"5,443.133430",649.416824
2019-06-01,"4,535.944525",755.990228
2019-07-01,"4,717.362246",918.075568
2019-08-01,"5,443.118000","1,032.832516"
2019-09-01,"5,102.919374","1,198.923367"
2019-10-01,"5,443.110283","1,198.923367"
2019-11-01,"5,443.108741","1,099.013086"
2019-12-01,"4,535.944525","1,193.668781"
2020-01-01,"5,443.110283","1,099.013086"
2020-02-01,"5,216.321416","1,099.013086"
2020-03-01,"5,216.314022","1,094.194206"
2020-04-01,"4,726.434096",997.907101
2020-05-01,"5,080.236266",999.102806
2020-06-01,"5,443.110283","1,099.013086"
2020-07-01,"5,443.109451","1,235.000000"
2020-08-01,"5,216.321416","1,300.265254"
2020-09-01,"5,216.321416","1,469.976774"
2020-10-01,"5,216.321416","1,398.743928"
2020-11-01,"5,216.321416","1,198.923367"
2020-12-01,"5,216.321416","1,397.465551"
2021-01-01,"5,216.321416","1,299.341799"
2021-02-01,"5,216.316486","1,298.832999"
2021-03-01,"5,443.109583","1,315.087435"
2021-04-01,"5,443.110284","1,351.393625"
2021-05-01,"5,443.117999","1,298.833647"
2021-06-01,"5,443.110284","1,298.833647"
2021-07-01,"5,443.117999","1,298.833647"
2021-08-01,"5,669.906546",999.102806
2021-09-01,"5,443.117999",999.102806
2021-10-01,"5,216.321416",999.102806
2021-11-01,"4,989.517760",897.527539
2021-12-01,"4,989.524833",948.312005
2022-01-01,"4,554.073241",897.215939
2022-02-01,"4,989.524833",797.525279
2022-03-01,"5,216.312790",799.282245
2022-04-01,"4,762.721498",699.371964
2022-05-01,"4,989.524833",747.679949
2022-06-01,"4,535.944525",697.834556
2022-07-01,"4,535.944525",657.710365
2022-08-01,"4,898.806199",696.305404
2022-09-01,"4,535.931666",600.000000
2022-10-01,"4,535.931666",599.461683
2022-11-01,"4,535.931666",599.461683
2022-12-01,"4,535.931666",549.506543
2023-01-01,"4,535.931666",630.494416
2023-02-01,"4,535.927380",599.461683
2023-03-01,"4,535.931666",599.461683
2023-04-01,"4,535.925237",596.834390
