Date,Unknown_producer_type,Indoor_total_wet_weight,Mixed_total_wet_weight,Outdoor_total_wet_weight
JUN-16,0,165,0,0
JUL-16,0,1885,513,639
AUG-16,0,764,2777,5947
SEP-16,0,2432,24261,44893
OCT-16,0,11827,207886,810919
NOV-16,0,5680,61488,276309
DEC-16,0,10993,4959,3697
JAN-17,0,14837,5247,2625
FEB-17,0,23554,7535,8
MAR-17,0,30249,13648,894
APR-17,0,32840,13166,3393
MAY-17,0,44934,14109,41263
JUN-17,0,60270,27422,19477
JUL-17,0,65686,38619,57063
AUG-17,0,66714,51981,124396
SEP-17,0,67187,130033,272551
OCT-17,0,93406,559304,1824981
NOV-17,0,79937,185276,544000
DEC-17,0,69288,30883,26248
JAN-18,0,87981,24688,4711
FEB-18,0,64122,19849,1508
MAR-18,0,86188,26289,2743
APR-18,0,72535,27155,4941
MAY-18,0,95490,34760,4729
JUN-18,0,76729,37734,14781
JUL-18,0,105795,56998,81500
AUG-18,0,108118,69661,102035
SEP-18,0,90887,86447,138467
OCT-18,0,104919,587874,1848821
NOV-18,0,100296,139716,593195
DEC-18,0,108508,25365,4720
JAN-19,0,112754,24198,524
FEB-19,0,92891,22523,0
MAR-19,0,107278,22663,126
APR-19,0,149620,24267,5006
MAY-19,0,125586,27518,5274
JUN-19,0,103269,42409,8814
JUL-19,0,135491,81091,107346
AUG-19,0,141623,77344,171622
SEP-19,0,128763,147701,436788
OCT-19,0,145748,626703,2174324
NOV-19,0,135880,102985,235967
DEC-19,0,145036,32863,5451
JAN-20,0,146817,32571,33
FEB-20,0,139714,25346,0
MAR-20,0,156544,32401,724
APR-20,0,152234,32536,1951
MAY-20,0,152436,46046,20363
JUN-20,0,201556,65700,39133
JUL-20,0,177760,85024,189756
AUG-20,0,191441,157138,300960
SEP-20,1781,191057,191174,330775
OCT-20,6680,205361,951286,2836449
NOV-20,0,183589,165841,403179
DEC-20,0,218161,46993,4767
JAN-21,0,200769,33540,6304
FEB-21,0,194940,36736,1295
MAR-21,0,214619,40593,302
APR-21,0,207691,49635,6737
MAY-21,0,236260,58473,30677
JUN-21,0,278801,65013,115358
JUL-21,0,224633,128182,263956
AUG-21,0,262399,172682,479064
SEP-21,0,250121,216993,716531
OCT-21,0,235977,946473,4355626
NOV-21,0,252074,180028,397122
DEC-21,0,217887,44031,18189
JAN-22,0,222059,30132,513
FEB-22,0,191140,41560,2840
MAR-22,0,240833,41322,0
APR-22,0,225203,33659,400
MAY-22,0,233682,46502,7872
JUN-22,0,227230,53770,47561
JUL-22,0,219696,85263,187674
AUG-22,0,219926,129232,799767
SEP-22,0,214224,199762,470301
OCT-22,0,240243,778471,3156290
NOV-22,0,227658,180243,649207
DEC-22,0,206676,35479,5104
JAN-23,0,218008,36501,0
FEB-23,0,189218,29764,0
MAR-23,0,224538,30374,0
APR-23,0,185978,26385,0
