County,Begin_Reporting_Period,End_Reporting_Period,Total_Sales,Total_Excise_Tax,Producer_Total_Sales,Producer_Excise_Tax,Processor_Total_Sales,Processor_Excise_Tax,Retailer_Total_Sales,Retailer_Excise_Tax
ADAMS,2015-07-01,2016-06-30,890663.72,0.0,698102.72,0.0,192561.0,0.0,0.0,0.0
ASOTIN,2015-07-01,2016-06-30,2390504.48,884486.67,0.0,0.0,0.0,0.0,2390504.48,884486.67
BENTON,2015-07-01,2016-06-30,8372406.05,1838971.85,882300.9,0.0,2519911.03,0.0,4970194.12,1838971.85
CHELAN,2015-07-01,2016-06-30,1.562230665E7,1776152.65,3299643.5,0.0,7520901.2,-499.27,4801761.95,1776651.92
CLALLAM,2015-07-01,2016-06-30,7328624.41,1930070.53,185983.92,0.0,1925440.35,-293.5,5217200.14,1930364.03
CLARK,2015-07-01,2016-06-30,5.253874226E7,1.696407633E7,135030.73,0.0,6550058.49,-1775.33,4.611969221E7,1.706428613E7
COWLITZ,2015-07-01,2016-06-30,1.943497271E7,3794702.92,843490.71,0.0,8329304.66,-2302.68,9996138.17,3698571.13
DOUGLAS,2015-07-01,2016-06-30,4448967.65,627891.82,264674.48,0.0,2487158.51,-48.0,1697134.66,627939.82
FERRY,2015-07-01,2016-06-30,3181955.49,153970.18,394192.42,0.0,2369962.92,-615.88,417800.15,154586.06
FRANKLIN,2015-07-01,2016-06-30,209549.76,45588.99,7793.17,0.0,78543.11,0.0,123213.48,45588.99
GRANT,2015-07-01,2016-06-30,5773921.01,1374726.58,958467.28,0.0,1099976.46,0.0,3715477.27,1374726.58
GRAYS HARBOR,2015-07-01,2016-06-30,9554760.98,2338090.72,267621.06,0.0,2963515.32,-1650.38,6323624.6,2339741.1
ISLAND,2015-07-01,2016-06-30,6959120.96,2120106.99,25996.65,0.0,1203103.22,-0.83,5730021.09,2120107.82
JEFFERSON,2015-07-01,2016-06-30,4042328.13,1171107.85,185982.48,0.0,690310.4,-325.19,3166035.25,1171433.04
KING,2015-07-01,2016-06-30,1.914851968E8,5.60094462E7,964070.57,0.0,3.91105081E7,-12482.5,1.5141061813E8,5.60219287E7
KITSAP,2015-07-01,2016-06-30,1.962423266E7,6539791.71,122601.91,0.0,1824671.41,-683.25,1.767695934E7,6540474.96
KITTITAS,2015-07-01,2016-06-30,8970465.62,1448412.84,896314.6,0.0,4157405.86,-782.85,3916745.16,1449195.69
KLICKITAT,2015-07-01,2016-06-30,6166383.27,814594.82,1247286.67,0.0,2717488.91,0.0,2201607.69,814594.82
LEWIS,2015-07-01,2016-06-30,2648008.28,757120.65,2920.04,0.0,598816.18,0.0,2046272.06,757120.65
LINCOLN,2015-07-01,2016-06-30,4525381.01,-136.13,789709.22,-20.13,3735671.79,-116.0,0.0,0.0
MASON,2015-07-01,2016-06-30,1.544954117E7,1420506.13,1847616.22,0.0,9756540.09,-2286.27,3845384.86,1422792.4
OKANOGAN,2015-07-01,2016-06-30,1.299403809E7,666711.56,4050995.01,-37.5,7141018.07,-0.2,1802025.01,666749.26
PACIFIC,2015-07-01,2016-06-30,9017892.67,311490.51,76629.05,0.0,8098191.2,-446.31,843072.42,311936.82
PEND OREILLE,2015-07-01,2016-06-30,401421.9,0.0,15970.85,0.0,385451.05,0.0,0.0,0.0
PIERCE,2015-07-01,2016-06-30,5.94903751E7,1.82179647E7,243895.11,0.0,1.000857319E7,-60.76,4.92379068E7,1.821802546E7
SAN JUAN,2015-07-01,2016-06-30,1352469.04,243068.01,59215.37,0.0,635520.52,-293.25,657733.15,243361.26
SKAGIT,2015-07-01,2016-06-30,1.61143039E7,4040898.14,722539.21,0.0,4470418.35,0.0,1.092134634E7,4040898.14
SKAMANIA,2015-07-01,2016-06-30,1034770.69,366176.04,0.0,0.0,45105.7,0.0,989664.99,366176.04
SNOHOMISH,2015-07-01,2016-06-30,8.246381533E7,1.843626576E7,1155270.22,-4159.69,3.1444987E7,-9091.05,4.986355811E7,1.84495165E7
SPOKANE,2015-07-01,2016-06-30,1.0229421054E8,2.132722695E7,4937649.26,-5925.0,3.969486245E7,-1676.63,5.766169883E7,2.133482858E7
STEVENS,2015-07-01,2016-06-30,6939105.48,730365.47,322458.72,0.0,4637338.76,-1978.5,1979308.0,732343.97
THURSTON,2015-07-01,2016-06-30,5.316803931E7,7172507.61,1498644.43,-131.61,3.227690212E7,-2583.07,1.939249276E7,7175222.29
WAHKIAKUM,2015-07-01,2016-06-30,434257.35,0.0,4764.0,0.0,429493.35,0.0,0.0,0.0
WALLA WALLA,2015-07-01,2016-06-30,3303479.07,1159084.06,71132.22,0.0,99687.17,0.0,3132659.68,1159084.06
WHATCOM,2015-07-01,2016-06-30,3.067955746E7,6410361.06,1399051.21,-0.3,1.195312E7,-771.58,1.732738625E7,6411132.94
WHITMAN,2015-07-01,2016-06-30,6226317.47,1955312.46,285737.87,0.0,655951.28,0.0,5284628.32,1955312.46
YAKIMA,2015-07-01,2016-06-30,1.091751287E7,2631535.85,913557.09,0.0,2890007.33,-625.09,7113948.45,2632160.94
ALL COUNTIES TOTAL,2015-07-01,2016-06-30,7.8644959934E8,1.8567864848E8,2.977730887E7,-10274.23,2.5469847655E8,-41388.37,5.0197381392E8,1.8573031108E8
